letter,float,integer
h,21.98,1
r,82.33,46
j,70.85,92
s,78.82,68
b,36.07,41
e,76.12,63
e,16.59,33
z,67.37,62
z,25.91,47
f,85.47,77
n,76.92,57
g,5.82,78
b,39.17,79
k,91.39,46
i,73.59,34
j,92.23,6
q,42.38,19
p,47.09,49
b,26.57,27
p,72.92,20
v,56.8,86
s,18.06,66
d,78.64,46
j,26.84,96
e,86.62,48
u,28.89,7
i,54.18,74
g,50.23,66
t,54.03,82
z,65.17,5
z,62.61,6
j,34.21,25
i,72.81,52
i,12.3,41
y,65.21,41
o,62.57,78
o,75.28,13
s,92.39,81
k,60.89,100
j,3.09,59
y,23.2,14
c,45.04,25
t,69.97,70
p,84.22,69
e,73.78,83
m,87.24,3
d,62.73,11
z,96.33,76
o,42.73,10
j,2.45,2
n,8.64,3
m,29.39,70
y,13.08,97
t,6.94,60
l,30.44,25
h,54.05,5
l,28.38,49
e,49.65,1
x,82.07,4
v,38.51,9
l,11.2,41
i,13.16,79
c,57.0,28
a,8.09,61
i,45.88,63
j,96.41,24
g,32.93,36
a,45.59,81
s,56.5,18
f,13.26,97
p,1.74,28
j,49.58,46
f,33.52,64
o,6.0,64
l,18.14,44
p,56.74,32
a,92.28,98
q,4.98,27
j,97.24,66
d,92.37,11
z,93.31,89
o,98.41,36
h,50.6,77
f,13.18,18
r,82.15,45
r,28.32,53
c,37.59,11
h,40.13,22
d,82.68,10
s,37.13,50
f,43.06,27
o,95.16,36
j,48.96,80
c,92.45,23
d,41.97,11
s,3.49,40
p,96.05,17
q,49.82,82
y,2.51,8
h,9.3,37
letter,float,integer
m,75.13,65
r,71.66,50
z,16.37,34
o,79.04,59
v,59.84,21
d,19.53,12
t,36.19,23
f,34.67,64
p,85.59,27
o,58.77,3
b,10.61,98
m,49.72,32
n,88.76,47
c,40.46,76
v,2.67,43
e,2.57,19
u,42.35,72
o,57.73,3
d,78.53,85
e,41.84,14
n,0.19,57
o,33.75,41
i,51.06,43
y,14.43,68
g,39.07,14
g,67.98,61
s,88.46,40
c,46.71,47
b,44.04,7
p,95.29,72
v,57.73,97
a,57.65,79
l,60.29,21
q,62.18,92
p,83.69,93
u,21.87,94
i,96.5,37
u,44.59,73
q,38.38,74
h,44.51,92
g,3.99,1
s,70.76,49
x,94.33,92
